ano,id_municipio,taxa_bruta_matricula_pre_escola,numero_absoluto_bruto_matricula_pre_escola,taxa_liquida_matricula_pre_escola,numero_absoluto_liquido_matricula_pre_escola
2013,1100403,27.3,192,24.3,171
2014,1100403,21.6,155,19.3,138
2015,1100403,19.9,145,16.4,120
2016,1100403,18.8,140,17.1,127
2017,1100403,19.8,150,17.1,129
2018,1100403,23.5,178,19.2,146
2019,1100403,29.5,228,27.6,214
2010,1100452,47.9,622,24.2,315
2011,1100452,54.9,708,28.3,365
2012,1100452,49.7,650,25.3,331
2013,1100452,40.8,585,36.1,517
2014,1100452,40.5,590,34,496
2015,1100452,45.6,676,36.1,535
2016,1100452,43.5,655,36.8,554
2017,1100452,43.1,660,34.6,530
2018,1100452,44.7,682,36.8,561
2019,1100452,37.3,580,35.4,550
2010,1100502,60,201,26.3,88
2011,1100502,70.5,213,34.4,104
2012,1100502,71.1,212,33.2,99
2013,1100502,69.7,220,62.4,197
2014,1100502,69.3,216,59.3,185
2015,1100502,59.7,184,52.5,162
2016,1100502,49.5,151,38.1,116
2017,1100502,64,193,52.7,159
2018,1100502,67,176,52.9,139
2019,1100502,44.9,115,44.5,114
2010,1100601,61.2,134,39.3,86
2011,1100601,57.3,121,28.9,61
2012,1100601,59.2,125,32.7,69
2013,1100601,67,153,58.7,134
2014,1100601,53.4,123,44.7,103
2015,1100601,50,116,37.9,88
2016,1100601,50.9,119,41.1,96
2017,1100601,51,120,39.1,92
2018,1100601,55.9,126,42.1,95
2019,1100601,30.8,70,30,68
2010,1100700,33.5,176,17.9,94
2011,1100700,33.1,173,16.7,87
2012,1100700,34.1,179,15,79
2013,1100700,26.5,151,22.8,130
2014,1100700,29.4,169,27.6,159
2015,1100700,26.5,154,26,151
2016,1100700,41.6,244,39.9,234
2017,1100700,40,237,36.2,214
2018,1100700,44.5,255,38.1,218
2019,1100700,40.3,233,39.1,226
2010,1100809,62.6,502,36.5,293
2011,1100809,69.6,565,40.3,327
2012,1100809,73.8,613,38.1,317
2013,1100809,72.2,663,65.8,604
2014,1100809,69.2,652,62,584
2015,1100809,75.6,730,65.8,635
2016,1100809,80.7,797,72.3,714
2017,1100809,75.2,760,70,707
2018,1100809,77.2,802,67.2,698
2019,1100809,57.4,613,55.8,595
2010,1100908,56.3,63,25,28
2011,1100908,90.2,92,43.1,44
2012,1100908,64.7,66,23.5,24
2013,1100908,55.5,60,42.5,46
2014,1100908,50.4,54,41.1,44
2015,1100908,64.1,68,57.5,61
2016,1100908,57.1,60,52.4,55
2017,1100908,59.6,62,55.7,58
2018,1100908,55.8,51,50.3,46
2019,1100908,64.8,58,63.7,57
2010,1100924,70.5,246,36.1,126
2011,1100924,81.3,261,41.4,133
2012,1100924,84.8,278,42.4,139
2013,1100924,73.9,268,66.2,240
2014,1100924,42.5,158,37.9,141
2015,1100924,48.6,185,46.2,176
2016,1100924,66.4,259,54.4,212
2017,1100924,71.8,286,60,239
2018,1100924,69.9,286,56.4,231
2019,1100924,48.3,203,47.8,201
2010,1100940,51.3,327,28.1,179
2011,1100940,42,298,21.8,155
2012,1100940,45.8,339,27.3,202
2013,1100940,44.5,370,40.1,334
2014,1100940,42.8,371,35,303
2015,1100940,42.8,385,32.9,296
2016,1100940,40.7,379,28.5,265
2017,1100940,36.3,349,27.3,263
2018,1100940,30.8,320,22.3,232
2019,1100940,30.5,330,26,281
2010,1101005,39,150,21.8,84
2011,1101005,47.2,169,26.8,96
2012,1101005,51.1,179,23.4,82
2013,1101005,41.1,151,36.5,134
2014,1101005,32.5,117,23.3,84
2015,1101005,36,127,28,99
2016,1101005,43,149,37.3,129
2017,1101005,35,119,28.8,98
2018,1101005,55.6,157,44.6,126
2019,1101005,60.9,165,53.6,145
2010,1101104,66.6,229,34.6,119
2011,1101104,76.9,247,41.7,134
2012,1101104,73,238,40.8,133
2013,1101104,83.5,298,76.3,272
2014,1101104,54,196,47.9,174
2015,1101104,58.5,216,45.5,168
2016,1101104,66.1,248,52.5,197
2017,1101104,62.3,237,48.1,183
2018,1101104,64.3,244,49.8,189
2019,1101104,53.6,207,46.1,178
2010,1101203,47.5,159,25.1,84
2011,1101203,39.3,136,19.4,67
2012,1101203,40.4,138,21.6,74
2013,1101203,41.3,151,36.7,134
2014,1101203,33.2,121,31,113
2015,1101203,33.4,121,27.3,99
2016,1101203,33.5,121,31,112
2017,1101203,33.3,120,27.5,99
2018,1101203,48.3,158,43.4,142
2019,1101203,40.1,130,38.9,126
2010,1101302,66.7,278,34.8,145
2011,1101302,65.6,279,35.5,151
2012,1101302,71.3,300,38.2,161
2013,1101302,63.9,287,56.8,255
2014,1101302,51.7,231,45.2,202
2015,1101302,50.8,226,42.4,189
2016,1101302,48.7,216,37.7,167
2017,1101302,51.2,226,43.9,194
2018,1101302,56.4,225,43.6,174
2019,1101302,49.7,196,46.4,183
2010,1101401,37.6,202,23.1,124
2011,1101401,35.8,191,23.8,127
2012,1101401,41.3,222,23.6,127
2013,1101401,38.6,225,33.1,193
2014,1101401,29.5,174,23.4,138
2015,1101401,32.1,191,25.2,150
2016,1101401,26.6,160,19.8,119
2017,1101401,38.2,232,30.5,185
2018,1101401,41.3,243,40.2,237
2019,1101401,54.1,322,50.4,300
2010,1101435,60.9,159,30.7,80
2011,1101435,86.7,209,53.1,128
2012,1101435,84.1,201,41,98
2013,1101435,61.9,158,53.7,137
2014,1101435,50,127,40.9,104
2015,1101435,52.1,132,46.6,118
2016,1101435,51.5,130,44.8,113
2017,1101435,55.7,140,46.9,118
2018,1101435,62.7,143,46.9,107
2019,1101435,47,106,46.5,105
2010,1101450,38.9,79,19.2,39
2011,1101450,44.4,80,20.6,37
2012,1101450,47.3,87,19.6,36
2013,1101450,38.6,78,35.2,71
2014,1101450,39.8,82,38.8,80
2015,1101450,36.7,77,34.8,73
2016,1101450,30.8,66,27.6,59
2017,1101450,33.1,72,30.8,67
2018,1101450,29.2,64,27.4,60
2019,1101450,22.8,51,22.8,51
2010,1101468,63.2,60,33.7,32
2011,1101468,70.8,63,42.7,38
2012,1101468,88.5,77,49.4,43
2013,1101468,75.3,70,68.8,64
2014,1101468,56.1,52,44.2,41
2015,1101468,56.3,52,46.6,43
2016,1101468,57.5,53,46.7,43
2017,1101468,68.6,63,53.4,49
2018,1101468,73.1,61,55.1,46
2019,1101468,69,57,69,57
2010,1101476,79.5,93,41,48
2011,1101476,90.8,89,46.9,46
2012,1101476,82.7,81,49,48
2013,1101476,94.7,98,84.1,87
2014,1101476,108.7,111,88.2,90
2015,1101476,86.4,87,65.5,66
2016,1101476,86.5,86,70.4,70
2017,1101476,78.5,77,60.1,59
2018,1101476,111.2,94,88.7,75
2019,1101476,105.9,87,96.1,79
2010,1101484,68.7,134,34.4,67
2011,1101484,83,146,44.9,79
2012,1101484,72.4,126,31.6,55
2013,1101484,59,109,54.2,100
2014,1101484,62.3,114,50.3,92
2015,1101484,65.1,118,49.7,90
2016,1101484,63.5,114,51.2,92
2017,1101484,59.6,106,47.2,84
2018,1101484,67,105,54.2,85
2019,1101484,50.8,78,49.5,76
2010,1101492,36.1,224,16.9,105
2011,1101492,43.3,265,23,141
2012,1101492,45.2,282,24.2,151
2013,1101492,44.7,306,38.8,266
2014,1101492,39.3,275,31.9,223
2015,1101492,47.6,339,37.7,269
2016,1101492,47.1,342,39.8,289
2017,1101492,42.8,316,35.5,262
2018,1101492,46.4,345,38.7,288
2019,1101492,42.1,320,37.6,286
2010,1101500,30.3,129,6.1,26
2011,1101500,54.8,236,21.3,92
2012,1101500,52.9,228,22.7,98
2013,1101500,54.5,253,47,218
2014,1101500,41.1,191,38,177
2015,1101500,42,196,38.8,181
2016,1101500,41.9,196,36.8,172
2017,1101500,46.4,218,41.1,193
2018,1101500,58.9,259,46.6,205
2019,1101500,42.5,187,41.8,184
2010,1101559,55.5,91,34.1,56
2011,1101559,84.6,115,50.7,69
2012,1101559,77,104,40.7,55
2013,1101559,62,89,56.4,81
2014,1101559,81.4,116,63.9,91
2015,1101559,82.8,117,62.3,88
2016,1101559,73.4,103,57.7,81
2017,1101559,89,124,65.3,91
2018,1101559,100.9,125,79.1,98
2019,1101559,83.8,102,69.8,85
2010,1101609,31,113,13.5,49
2011,1101609,68.4,249,35.4,129
2012,1101609,70.6,257,37.4,136
2013,1101609,62,242,56.9,222
2014,1101609,46.6,182,42.3,165
2015,1101609,49.9,195,43,168
2016,1101609,52.2,204,50.2,196
2017,1101609,51.4,201,46.6,182
2018,1101609,46.8,169,42.6,154
2019,1101609,53.4,192,50.1,180
2010,1101708,44.7,183,37.9,155
2011,1101708,40.8,171,26.7,112
2012,1101708,43.7,181,27.1,112
2013,1101708,48.6,214,44.7,197
2014,1101708,38.2,167,29.3,128
2015,1101708,34.6,150,24,104
2016,1101708,33.2,143,26,112
2017,1101708,39,167,28.3,121
